1,jk,"Моята награ",f3c42a7ac2a79576b8dabc7f58432d5b.jpg
2,j,"Stop for a Minute",a64d707b8d604114a33990e6cd43e4ac.png
3,koko,Philadelp,54a2f03176811e66844c061eafe566cd.jpg
5,Coolio,"Gangster's Paradise",a224fc9b50d20e828a4005e3c29556a2.jpg
6,llljuy,ioioaqq,c375e7c308662e617d133caa1dd1874f.png
7,"David Bowie","The Next Day (Deluxe Version)",
8,Bastille,"Bad Blood",
9,"Bruno Mars","Unorthodox Jukebox",
10,"Emeli Sandé","Our Version of Events (Special Edition)",
11,"Bon Jovi","What About Now (Deluxe Version)",
12,"Justin Timberlake","The 20/20 Experience (Deluxe Version)",
13,Bastille,"Bad Blood (The Extended Cut)",
14,P!nk,"The Truth About Love",
15,"Sound City - Real to Reel","Sound City - Real to Reel",
16,"Jake Bugg","Jake Bugg",
17,"Various Artists","The Trevor Nelson Collection",
18,"David Bowie","The Next Day",
19,"Mumford & Sons",Babel,
20,"The Lumineers","The Lumineers",
21,"Various Artists","Get Ur Freak On - R&B Anthems",
22,"The 1975","Music For Cars EP",
23,"Various Artists","Saturday Night Club Classics - Ministry of Sound",
24,Hurts,"Exile (Deluxe)",
25,"Various Artists","Mixmag - The Greatest Dance Tracks of All Time",
26,"Ben Howard","Every Kingdom",
27,Stereophonics,"Graffiti On the Train",
28,"The Script",#3,
29,Stornoway,"Tales from Terra Firma",
30,"David Bowie","Hunky Dory (Remastered)",
31,"Worship Central","Let It Be Known (Live)",
32,"Ellie Goulding",Halcyon,
33,"Various Artists","Dermot O'Leary Presents the Saturday Sessions 2013",
34,Stereophonics,"Graffiti On the Train (Deluxe Version)",
35,Dido,"Girl Who Got Away (Deluxe)",
36,Hurts,Exile,
37,"Bruno Mars","Doo-Wops & Hooligans",
38,"Calvin Harris","18 Months",
39,"Olly Murs","Right Place Right Time",
40,"Alt-J (?)","An Awesome Wave",
41,"One Direction","Take Me Home",
42,"Various Artists","Pop Stars",
43,"Various Artists","Now That's What I Call Music! 83",
44,"John Grant","Pale Green Ghosts",
45,"Paloma Faith","Fall to Grace",
46,"Laura Mvula","Sing To the Moon (Deluxe)",
47,"Duke Dumont","Need U (100%) [feat. A*M*E] - EP",
48,Watsky,"Cardboard Castles",
49,Blondie,"Blondie: Greatest Hits",
50,Foals,"Holy Fire",
51,"Maroon 5",Overexposed,
52,Bastille,"Pompeii (Remixes) - EP",
53,"Imagine Dragons","Hear Me - EP",
54,"Various Artists","100 Hits: 80s Classics",
55,"Various Artists","Les Misérables (Highlights From the Motion Picture Soundtrack)",
56,"Mumford & Sons","Sigh No More",
57,"Frank Ocean","Channel ORANGE",
58,"Bon Jovi","What About Now",
